ensid	gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B	ranks
ENSG00000000003	TSPAN6	-0.0395820032668717	3.12516141564444	-0.393231757613098	0.694319117084371	0.794315734490325	-6.61697559874991	-0.158440876901083
ENSG00000000419	DPM1	0.0576603866786187	6.82720420793509	0.575654700926274	0.56511251250676	0.691896175688478	-6.67977991511865	0.247865076612064
ENSG00000000457	SCYL3	-0.236150467909412	3.24647409825311	-3.62403568400694	0.000320304396876944	0.00201144336698726	-0.26949938792395	-3.4944370996556
ENSG00000000460	C1orf112	0.133369096106787	3.583500580851	1.54274458339024	0.123537438157782	0.231258450170009	-5.56062767982002	0.908201409032602
ENSG00000000938	FGR	-0.0196058953698209	1.62010874792118	-0.155665992610802	0.876360324903504	0.91980868242247	-6.513014828338	-0.0573172922997278
ENSG00000000971	CFH	0.192284113740949	6.76414599280784	1.01275535553757	0.31167617989245	0.457716483659962	-6.33405795867076	0.506296387766687
ENSG00000001036	FUCA2	-0.0222731767634157	4.55394644081738	-0.273411583616988	0.784651897284503	0.858967964967885	-6.76805975368164	-0.105322970793651
ENSG00000001084	GCLC	-0.303287153386265	5.41181999775303	-2.74516086078182	0.00627001869736943	0.0225801316432597	-3.14057863251688	-2.20273116408918
ENSG00000001167	NFYA	-0.0425196297178883	4.79495447807107	-0.525118042495181	0.59973832958593	0.721262237426242	-6.68212106586655	-0.222038194290928
ENSG00000001460	STPG1	0.499284990184476	1.93600708069803	4.82661196310185	1.85761426139675e-06	2.67715062290752e-05	4.61911552743454	5.73104446339892
ENSG00000001461	NIPAL3	0.0485610320335159	3.35599527541288	0.491477422524925	0.623308593792081	0.740366219208453	-6.5702271809389	0.205296885283919
ENSG00000001497	LAS1L	-0.195403749335649	4.75806815494669	-3.40083971482487	0.000726623043122199	0.00392295882524398	-1.16319612432634	-3.138690833638
ENSG00000001561	ENPP4	-0.0551892348923806	2.318560028532	-0.474143464102233	0.635608532092681	0.749704129265234	-6.45041443309165	-0.196810281672492
ENSG00000001617	SEMA3F	-0.384328573462086	2.82292785273059	-2.7797293128712	0.00564933763721558	0.0208236240042174	-2.8812055265616	-2.24800246852838
ENSG00000001626	CFTR	-0.90766542883298	4.85923626951202	-3.21422536114841	0.00139409886101515	0.00669263062296172	-1.67591688814814	-2.85570642762181
ENSG00000001629	ANKIB1	0.236390780596664	5.09424197489594	3.75196146041726	0.000196427652238286	0.00133656725702843	0.0381982524787121	3.70679737413992
ENSG00000001630	CYP51A1	-0.52591237343334	5.47858901842977	-4.22533776577893	2.84521863820587e-05	0.000267560442887537	1.85085874152312	-4.5458843550271
ENSG00000001631	KRIT1	0.150008210927861	6.26451587450889	1.60037562200358	0.110158922986958	0.211771358986257	-5.58568573458054	0.957980318785151
ENSG00000002016	RAD52	0.174456934552744	4.20294982560043	1.81230684929153	0.0705499013084705	0.150606860698536	-5.16441054242048	1.15150358943928
ENSG00000002079	MYH16	0.897838988985369	0.018109438036151	6.87013283526427	1.95145362260689e-11	1.47677571440522e-09	15.554762134574	10.7096417655128
ENSG00000002330	BAD	-0.0398734143865433	2.99533032555983	-0.416758757666541	0.677037133565257	0.781693304049366	-6.5586730727181	-0.169387510841859
ENSG00000002549	LAP3	0.0255609225595328	6.1624112029963	0.277374968480128	0.781609025100618	0.856851277945179	-6.81361580764165	0.107010434539069
ENSG00000002586	CD99	-0.030761412024273	8.39467433258384	-0.276341856617002	0.782401871444254	0.857342819702148	-6.7754989669163	-0.106570119420684
ENSG00000002587	HS3ST1	0.02550424381024	1.59858300366973	0.186431198640581	0.852183682842897	0.905031030517774	-6.49505426816199	0.0694667856942768
ENSG00000002726	AOC1	-0.874347257834771	3.89496240672336	-4.49121583615004	8.83837001012257e-06	9.97880485013839e-05	3.10677543526074	-5.05362782105945
ENSG00000002745	WNT16	0.0024724506735847	-0.704847681617132	0.0263092416010115	0.979021380436188	0.985976032810477	-6.65706390612188	0.00920782371875541
ENSG00000002746	HECW1	0.00147716125628033	-0.56491978822105	0.0147830190089177	0.988211295968478	0.991835061613879	-6.653818471425	0.00515018611879448
ENSG00000002822	MAD1L1	0.199648892627501	4.54959791079369	2.09599429790992	0.0365943893852584	0.0907566787234042	-4.64179971051281	1.43658549509209
ENSG00000002834	LASP1	0.385417303585349	6.28922770079237	4.58364240463758	5.80475893393157e-06	7.00214597478138e-05	3.34124632481284	5.23621581138401
ENSG00000002919	SNX11	0.184968674811858	3.79484684241925	2.15388300707454	0.0317356965553964	0.0812062603199541	-4.46043685333727	1.49845196507194
ENSG00000002933	TMEM176A	0.0290378647970719	5.25031025594067	0.169859608773506	0.865190558111804	0.912786087190216	-6.7920093883617	0.0628882286947087
ENSG00000003056	M6PR	0.0592894197329081	6.0536973148622	0.852907990145735	0.394126480600161	0.539900633161227	-6.49159113874613	0.40436438474319
ENSG00000003096	KLHL13	-0.977714677969952	-0.51511881169755	-8.50964806523867	2.13252760167074e-16	7.12964451901858e-14	26.5892210363386	-15.671105338976
ENSG00000003137	CYP26B1	-0.566647844168775	-0.316674973415272	-4.1717216056694	3.5755518185185e-05	0.000323213723707887	1.81898184265071	-4.44665692358491
ENSG00000003147	ICA1	0.0690997231761012	6.41122699132833	0.658749744812549	0.510365488291296	0.645495931029208	-6.63352917322614	0.292118700962842
ENSG00000003249	DBNDD1	-0.0079778433980584	0.98795832199278	-0.0606269147151277	0.951681024170922	0.968891611756449	-6.50681009041635	-0.0215085901190528
ENSG00000003393	ALS2	-0.0214476749144121	5.25366784314396	-0.321085966913714	0.74828196384194	0.833647223038984	-6.78519381568021	-0.125934722635204
ENSG00000003400	CASP10	-0.0195796450202081	4.85796298793532	-0.191392720603518	0.848297097006385	0.902400863035713	-6.79021243629957	-0.0714520192134315
ENSG00000003402	CFLAR	0.249149423155287	7.42893577061834	3.88377140664958	0.000116941199930359	0.00086480121440741	0.523524257245851	3.93203245419242
ENSG00000003436	TFPI	0.379982257975803	5.49804018921509	2.73360980284065	0.00649075420661478	0.0232368378181511	-3.16862748522349	2.18770483652163
ENSG00000003509	NDUFAF7	0.122524433196408	5.04646456460207	1.66733711966868	0.0960854801087727	0.19100217251047	-5.46045088928503	1.01734223548515
ENSG00000003756	RBM5	0.0548347958302937	6.92237288153453	0.811461488985153	0.417494163581939	0.561125210634927	-6.52113180571462	0.379349591418404
ENSG00000003987	MTMR7	-0.320772474899581	0.00885393933788382	-3.36888401786402	0.000814146565884767	0.00431326368950415	-1.05789008283416	-3.08929740466223
