ensid	gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B	ranks
ENSG00000000003	TSPAN6	-0.648825752367663	3.12516141564444	-7.04618838856913	6.25944665842003e-12	1.0479193209911e-10	16.3971892825782	-11.2034640571756
ENSG00000000419	DPM1	-0.257798296585706	6.82720420793509	-2.8899853745458	0.00402322212865885	0.0105774854086805	-3.1942335966851	-2.39542598865975
ENSG00000000457	SCYL3	0.342612516710953	3.24647409825311	6.00378513154906	3.75327098454311e-09	4.0245701318222e-08	10.1650799085451	8.42559007858101
ENSG00000000460	C1orf112	-0.333226447976609	3.583500580851	-4.23371393903896	2.7448441885934e-05	0.00012852113257628	1.57782205132987	-4.56148230329209
ENSG00000000938	FGR	-0.161842200511589	1.62010874792118	-1.43442762174301	0.15208729732035	0.230528857759902	-5.97751868347685	-0.817907057702788
ENSG00000000971	CFH	-0.507054492182625	6.76414599280784	-3.00312976414593	0.00280860261441032	0.00774596140886372	-2.86660468241171	-2.55150970422222
ENSG00000001036	FUCA2	2.67319881070982e-05	4.55394644081738	0.000367031716401682	0.999707300241416	0.999751932024095	-7.28275558705037	0.00012713649732641
ENSG00000001084	GCLC	-0.348606606771152	5.41181999775303	-3.53462071898966	0.000447029416678652	0.00153486494996962	-1.17059069227206	-3.34966389726882
ENSG00000001167	NFYA	0.0317874062840309	4.79495447807107	0.439816129481021	0.660263944006825	0.739068510407483	-7.20158393686049	0.180282418229674
ENSG00000001460	STPG1	-0.0626348559130747	1.93600708069803	-0.663703594006576	0.507191766128645	0.604088667053844	-6.78679591980768	-0.294827805508658
ENSG00000001461	NIPAL3	0.106164653324532	3.35599527541288	1.20099880655992	0.230331106859811	0.322867133520636	-6.44805905353156	0.637647405391072
ENSG00000001497	LAS1L	-0.24614136517938	4.75806815494669	-4.79539610004233	2.15639389985445e-06	1.31473117465268e-05	3.90618448960703	-5.66627190540179
ENSG00000001561	ENPP4	0.419293017866142	2.318560028532	4.08038644257048	5.24711977594711e-05	0.000229292787712086	1.09297480285236	4.28007902205301
ENSG00000001617	SEMA3F	-0.699951632042925	2.82292785273059	-5.61747039078953	3.25077465454878e-08	2.89762643302398e-07	8.0943200147383	-7.48801313498803
ENSG00000001626	CFTR	2.03362440779421	4.85923626951202	8.49014819122517	2.46877430765939e-16	7.58580857223188e-15	26.2646721012348	15.607518610926
ENSG00000001629	ANKIB1	-0.143931269217725	5.09424197489594	-2.54429399306613	0.0112552953682786	0.0258583196153273	-4.10143804057905	-1.94864310349506
ENSG00000001630	CYP51A1	0.590861813813341	5.47858901842977	5.36860705187063	1.22652845514176e-07	9.7773086815571e-07	6.64799743555343	6.91132237182148
ENSG00000001631	KRIT1	0.024017448203387	6.26451587450889	0.287248874132454	0.774043037540469	0.832864061913081	-7.29061342380518	0.111234891453137
ENSG00000002016	RAD52	-0.218914095096893	4.20294982560043	-2.51243441973253	0.0123098500139916	0.0278807523067151	-4.12232692289878	-1.90974723857905
ENSG00000002079	MYH16	-0.310993672820455	0.018109438036151	-2.82392132192364	0.00493699303776231	0.0126444825115339	-3.14441734075038	-2.30653748523004
ENSG00000002330	BAD	0.158724816505435	2.99533032555983	1.86551661402142	0.0627055963964994	0.110503135810053	-5.39938451151766	1.2026936971971
